Country,schools_universities,travel_restrictions,public_events,sport,lockdown,social_distancing_encouraged,self_isolating_if_ill,,Data inputted by,"note: enter the date on which the closing occurred, e.g. as the last day of UK schools will be 2020-03-20, I entered 2020-03-21",comments,Enter your github username below
Austria,2020-03-14,2020-03-13,2020-03-10,2020-03-15,2020-03-16,2020-03-16,2020-03-16,,Michaela,,,ettieunwin
Belgium,2020-03-14,2020-03-19,2020-03-12,2020-03-14,2020-03-18,2020-03-14,2020-03-10,,Tresnia,,Belgium closed border for non essential travel https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium#cite_note-101,
Denmark,2020-03-13,2020-03-13,2020-03-12,2020-03-12,2020-03-18,2020-03-13,2020-03-12,,Michaela + Helen,,Denmark closed borders entirely on the 14th see https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark#cite_note-90,hcoupland
France,2020-03-14,2020-03-17,2020-03-13,2020-02-13,2020-03-17,2020-03-16,2020-03-16,,Ettie,,,harrisonzhu508
Germany,2020-03-14,2020-03-16,2020-03-22,2020-03-13,2020-03-22,2020-03-12,2020-03-06,,Ettie,https://drive.google.com/file/d/1J2WMTz33nvyIH8jwKTR1RWRz0iWx1MOj/view?usp=sharing,,Tresnia
Italy,2020-03-05,2020-03-09,2020-03-09,2020-03-09,2020-03-11,2020-03-09,2020-03-09,,Harrison,,,
Norway,2020-03-13,2020-03-13,2020-03-12,2020-03-13,2020-03-24,2020-03-16,2020-03-15,,Seth + Helen,,,tmellan
Spain,2020-03-13,2020-03-12,2020-03-14,2020-03-13,2020-03-14,2020-03-09,2020-03-17,,Ettie + Pablo,,,MonkeyfaceMx
Sweden,2020-03-18,2020-03-19,2020-03-12,2020-03-12,2090-03-21,2020-03-16,2020-03-10,,Michaela + Isak,,,isakfalk
Switzerland,2020-03-14,2020-03-18,2020-03-13,2020-03-16,2020-03-20,2020-03-16,2020-03-02,,Harrison,,,sarahfilippi
United_Kingdom,2020-03-21,2020-03-24,2020-03-24,2020-03-13,2020-03-24,2020-03-16,2020-03-12,,Seth,,,flaxter
Argentina,2020-03-16,2020-03-16,2020-03-20,2020-03-16,2020-03-20,2020-03-16,2020-03-13,,Leonardo,,,Leonardo-calcagno
Brazil,2020-03-26,2020-03-19,2020-03-23,2020-03-26,2020-03-25,2020-03-23,2020-03-26,,Leonardo,,"Currently a feud between federal government and most states over quarantine (most states implemented it, Bolsonaro vocal against it). Considered social distancing encouraged since 03-23-2020, and full quarantine since 03-26-2020. The most affected state, Sao Paulo, started its quarantine 03-24-2020, the state of Rio de Janeiro started its lock-down 03-21-2020, and by 03-25-2020 most capitals of Brazil's states were in quarantine. ",Leonardo-calcagno
Chile,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-12-31,2020-03-22,2020-03-16,,Leonardo,,"Nation-wide 22h-5h curfew since sunday 03-22, but no national lock-down",Leonardo-calcagno
Colombia,2020-03-16,2020-03-16,2020-03-13,2020-03-13,2020-03-24,2020-03-24,2020-03-24,,Leonardo,,,Leonardo-calcagno
Dominican_Republic,2020-03-16,2020-03-19,2020-03-16,2020-03-16,2020-12-31,2020-03-20,2020-03-20,,Leonardo,,"Nation-wide curfew since 03-20, extended curfew since 03-27, but no national lock-down",Leonardo-calcagno
Ecuador,2020-03-13,2020-03-19,2020-03-17,2020-03-17,2020-03-25,2020-03-17,2020-03-17,,Leonardo,,,Leonardo-calcagno
Mexico,2020-03-23,2020-03-31,2020-03-23,2020-03-23,2020-12-31,2020-03-23,2020-03-31,,Leonardo,,,Leonardo-calcagno
Panama,2020-03-12,2020-03-23,2020-03-19,2020-03-19,2020-03-25,2020-03-19,2020-03-25,,Leonardo,,,Leonardo-calcagno
Peru,2020-03-11,2020-03-16,2020-03-13,2020-03-13,2020-03-16,2020-03-16,2020-03-16,,Leonardo,,,Leonardo-calcagno
Puerto_Rico,2020-03-16,2020-03-16,2020-03-13,2020-03-13,2020-03-16,2020-03-16,2020-03-16,,Leonardo,,,Leonardo-calcagno
,,,,,,,,,,,,
Partial lockdowns,,,,,,,,,,,,
Country,Type of intervention,,Date,Effected population,,,,,,,,
Italy,Lockdown of Lombardy region and 14 other provinces,,2020-03-08,"26,00%",,,,,,,,
Italy,self-isolate if ill and quarantine if tested positive,,2020-03-08,extended to whole country on 9/03,,,,,,,,
Italy,Extended lockdown (non-essential shops + restaurants + caffee still open),,2020-03-09,,,,,,,,,
Italy,Extended lockdown + closure of non-essential shops,,2020-03-11,,,,,,,,,
Italy,Extended lockdown + further closure of non-essential businesses and activities,,2020-03-22,,,,,,,,,
Spain,"Bans events > 1000 people in Basque Country and La Rioja, Madrid",,2020-03-10,,,,,,,,,
Spain,"La Rioja, Haro was put on lockdown",,2020-03-07,,,1225802,,,,,,
Spain,Schools closed in Basque region and Madrid,,2020-03-09,,,,,,,,,
Denmark,Bans events >100 people,,2020-03-12,,,,,,,,,
Denmark,Bans events >10 people,,2020-03-18,,,,,,,,,
Belgium,"Police giving fines (from 200 euros to euros 500 and arresting ppl who are out for no reason, but no self authorisation forms as in france or italy",,,https://www.forbes.com/sites/davidnikel/2020/03/14/norway-closes-all-airports-to-foreigners-as-coronavirus-cases-mount/#35214fc41913,,,,,,,,
Germany,Lockdown in Bavaria,,2020-03-20,,,,,,,,,
Germany,Non-essential shops closed,,2020-03-16,,,,,,,,,
Spain,"Non-essential shops closed + ""partial lockdown""",,2020-03-15,,,,,,,,,
Germany,reduce social interaction recommendations by Merkel,,2020-03-12,,,,,,,,,
Switzerland,self-isolate if ill,,2020-03-11,,,,,,,,,
Austria,1m distance by law,,2020-03-16,,,,,,,,,
